path,mask_id,start_frame,end_frame,fps,Original_video_caption,Edited_video_caption,Edited_image_caption,Editing_instruction,type
000000055331_5368229.mp4,11,50,276,25," The video features a serene and stylish March 2023 calendar with a handwritten'march' inscription, set against a pastel pink and yellow background. The scene includes a small bouquet of purple flowers, two white macarons on a stone dish, and a plate with strawberries and a croissant, creating a tranquil atmosphere. As time passes, the arrangement maintains its calm and organized feel, with the addition of a croissant on a ceramic plate, enhancing the leisurely and refined setting. The color scheme and elements together evoke a sense of calm and refined taste.","The video features a serene and stylish August 2023 calendar with a handwritten 'august' inscription, set against a pastel pink and yellow background. The scene includes a small bouquet of purple flowers, two white macarons on a stone dish, and a plate with strawberries and a croissant, creating a tranquil atmosphere. As time passes, the arrangement maintains its calm and organized feel, with the addition of a croissant on a ceramic plate, enhancing the leisurely and refined setting. The color scheme and elements together evoke a sense of calm and refined taste.","""Elegant black 'August' text on beige brushstroke background, matching the calendar's handwritten style""",Change the month displayed on the calendar to August.,change
000000134923_7169873.mp4,2,92,229,23,"A woman in a grey kimono is seated at a wooden table, engaged in a traditional Japanese tea ceremony. She is focused on pouring green tea from a ceramic jug into a small cup on a bamboo tray, surrounded by a serene setting that includes a blue and white porcelain teapot, a silver tea scoop, and various other tea utensils. The room is filled with natural light, enhancing the tranquil atmosphere. A vintage desk and chair, along with a book and writing implements, suggest a space dedicated to cultural practices. The scene is bathed in natural light, highlighting the warmth and tranquility of the setting.","A woman with bright blue hair in a grey kimono is seated at a wooden table, engaged in a traditional Japanese tea ceremony. She is focused on pouring green tea from a ceramic jug into a small cup on a bamboo tray, surrounded by a serene setting that includes a blue and white porcelain teapot, a silver tea scoop, and various other tea utensils. The room is filled with natural light, enhancing the tranquil atmosphere. A vintage desk and chair, along with a book and writing implements, suggest a space dedicated to cultural practices. The scene is bathed in natural light, highlighting the warmth and tranquility of the setting.","Bright blue, wavy hair cascading over the shoulder, maintaining natural gloss and texture.",Change the hair color to bright blue.,change
000000182720_8132741.mp4,3,0,249,25,"A woman in a wheelchair is seated at a white kitchen table, diligently slicing green onions on a wooden cutting board. She is surrounded by an array of fresh ingredients, including a bowl of ripe tomatoes, a plate of mushrooms, a bunch of green onions, and a variety of other vegetables like zucchini and greens. Her attire consists of a striped black and white top, and she wears a red shoulder bag, indicating a blend of practicality and style. The scene is set in a bright, modern kitchen, highlighting a sense of domesticity and the joy of cooking.","A woman in a wheelchair is seated at a white kitchen table, diligently slicing green onions on a marble cutting board. She is surrounded by an array of fresh ingredients, including a bowl of ripe tomatoes, a plate of mushrooms, a bunch of green onions, and a variety of other vegetables like zucchini and greens. Her attire consists of a striped black and white top, and she wears a red shoulder bag, indicating a blend of practicality and style. The scene is set in a bright, modern kitchen, highlighting a sense of domesticity and the joy of cooking.","White and grey veined marble cutting board with a polished, glossy finish.",Change the cutting board to a marble material.,change
000000207786_8632822.mp4,1,0,229,23,"A single orange tulip with a gradient from yellow to deep red petals stands prominently in the foreground, its delicate veins and vibrant colors highlighted by sunlight. The background is a lush field of tulips in various hues, including red, purple, and blue, all under a soft focus that adds depth and a dreamlike quality to the scene. As time passes, the sunlight continues to cast a warm glow on the tulip, emphasizing its vivid colors and delicate petals against the serene, sunlit garden backdrop.","A single blue tulip with a gradient from light to deep blue petals stands prominently in the foreground, its delicate veins and vibrant colors highlighted by sunlight. The background is a lush field of tulips in various hues, including red, purple, and other blue shades, all under a soft focus that adds depth and a dreamlike quality to the scene. As time passes, the sunlight continues to cast a warm glow on the tulip, emphasizing its vivid colors and delicate petals against the serene, sunlit garden backdrop.","Bright blue petals with delicate, intricate veins and soft texture.",Change the color of the flower to blue.,change
000005056513.0.mp4,1,250,499,25,"A young man with shoulder-length brown hair and a light beard is seen engaging in a phone conversation, holding a black smartphone to his right ear. He wears a royal blue t-shirt, and his expressions shift from contentment to joy, with his eyes closed and a slight smile, indicating a pleasant and cheerful interaction. The background remains a solid turquoise, emphasizing the man's casual attire and the simplicity of the scene. His demeanor throughout suggests a moment of light-heartedness and enjoyment in the conversation.","A young man with shoulder-length brown hair and a light beard is seen engaging in a phone conversation, holding a black smartphone to his right ear. He wears a red t-shirt, and his expressions shift from contentment to joy, with his eyes closed and a slight smile, indicating a pleasant and cheerful interaction. The background remains a solid turquoise, emphasizing the man's casual attire and the simplicity of the scene. His demeanor throughout suggests a moment of light-heartedness and enjoyment in the conversation.",Bright red shirt with smooth fabric and a round neckline.,Change the color of the shirt to red.,change
000000032443_4651579.mp4,2,0,239,30,"A young man with dark hair and a contemplative expression is seen in profile, wearing a ribbed brown sweater adorned with a square patch featuring a pink rose and green leaves. The scene is set against a textured concrete wall, which adds an urban feel to the composition. As time passes, the man maintains his introspective gaze, with the soft lighting casting gentle shadows on his face, enhancing the serene mood. The consistent backdrop and his unchanging expression suggest a moment of quiet reflection.","A young man with dark hair and a contemplative expression is seen in profile, wearing a ribbed brown sweater. The scene is set against a textured concrete wall, which adds an urban feel to the composition. As time passes, the man maintains his introspective gaze, with the soft lighting casting gentle shadows on his face, enhancing the serene mood. The consistent backdrop and his unchanging expression suggest a moment of quiet reflection.",Beige ribbed sweater with seamless texture and uniform color.,Remove the floral pattern from the sweater.,remove
000000064800_5644695.mp4,8,526,738,25,"The video features a cozy bedroom with a disheveled white mattress on a wooden floor, bathed in natural light from a window. A vase with white flowers and a full-length mirror reflecting the room's interior are present, adding to the tranquil atmosphere. The scene is consistent throughout the video, with the mattress's casual state and the room's warm, inviting ambiance being the focal points.","The video features a cozy bedroom with a disheveled white mattress on a wooden floor, bathed in natural light from a window. A vase with white flowers and a full-length mirror reflecting the room's interior are present, adding to the tranquil atmosphere. The scene is consistent throughout the video, with the mattress's casual state and the room's warm, inviting ambiance being the focal points.","Wooden window frame with clear glass reflecting soft, natural light.",Remove the curtain.,remove
000000070067_5758772.mp4,1,465,685,29,"A craftsman meticulously polishes a wooden piece with a hand-held grinder, the spinning wheel adorned with a red and black disc. Sparks fly from the contact, highlighting the intense heat and energy of the woodworking process. The craftsman's hand, wearing a glove, guides a file along the wood's edge, emphasizing the precision and skill involved. The scene, set in a workshop bathed in natural light, showcases the craftsman's dedication to creating a smooth finish on the wood, with the grinder's spinning wheel and the craftsman's steady hand as focal points.","A wooden piece is polished with a hand-held grinder, the spinning wheel adorned with a red and black disc. Sparks fly from the contact, highlighting the intense heat and energy of the woodworking process. The file glides along the wood's edge, emphasizing the precision and skill involved. The scene, set in a workshop bathed in natural light, showcases the craftsman's dedication to creating a smooth finish on the wood, with the grinder's spinning wheel as a focal point.",Smooth black stick with consistent texture and lighting.,Remove the hand from the image.,remove
000000129884_7046823.mp4,3,0,289,29,"A drone captures a serene mountain range, showcasing its majestic peaks and rugged terrain. Initially, the landscape is bathed in sunlight, with a clear blue sky and sparse clouds overhead. The mountains, adorned with greenery and limestone outcrops, rise sharply from a valley, creating a tranquil and untouched natural scene. As the footage continues, the sunlight casts deep shadows, accentuating the textures and contours of the mountains. The clear blue sky, dotted with wispy clouds, enhances the vivid colors and peacefulness of the natural environment, evoking a sense of tranquility and untouched wilderness.","A drone captures a serene mountain range, showcasing its majestic peaks and rugged terrain. Initially, the landscape is bathed in sunlight, with a clear blue sky overhead. The mountains, adorned with greenery and limestone outcrops, rise sharply from a valley, creating a tranquil and untouched natural scene. As the footage continues, the sunlight casts deep shadows, accentuating the textures and contours of the mountains. The clear blue sky enhances the vivid colors and peacefulness of the natural environment, evoking a sense of tranquility and untouched wilderness.",Clear cloudless blue sky with smooth gradient tones.,Remove the cloud from the sky.,remove
000000182402_8125996.mp4,14,350,599,25,"Three young adults are in a modern office, deeply engaged in a collaborative discussion. Initially, a man in a beige jacket holds a document, conversing with a woman in a striped top who listens intently, while another woman with a pen and notebook observes. As time passes, the man switches to holding a pen, continuing the discussion with the woman in the striped top, who now holds a notebook and pen, while the woman with a colorful headscarf and red vest gestures actively. The environment is bright, with natural light, green plants, and contemporary furnishings, emphasizing a creative and professional atmosphere.","Three young adults are in a modern office, deeply engaged in a collaborative discussion. Initially, a man in a beige jacket holds a document, conversing with a woman in a striped top who listens intently, while another woman with a pen and notebook observes. As time passes, the man switches to holding a pen, continuing the discussion with the woman in the striped top, who now holds a notebook and pen, while the woman with a colorful headscarf and red vest gestures actively. The environment is bright, with natural light, green plants, and contemporary furnishings, emphasizing a creative and professional atmosphere.",Blurred wooden desk with scattered papers and a potted plant.,Remove the monitor from the image.,remove
000000000201_853879.mp4,1,0,137,23,"A narrow dirt road winds through a dense tropical forest, leading to a tranquil turquoise sea. The untouched landscape is bathed in sunlight, with a clear blue sky above. A solitary white vehicle is seen traveling along the road, surrounded by the lush greenery and the calm sea, emphasizing the area's natural beauty and serenity. The scene is consistently devoid of other people or structures, highlighting the remote and peaceful setting.","A dense tropical forest leads to a tranquil turquoise sea. The untouched landscape is bathed in sunlight, with a clear blue sky above. A solitary white vehicle is surrounded by the lush greenery and the calm sea, emphasizing the area's natural beauty and serenity. The scene is consistently devoid of other people or structures, highlighting the remote and peaceful setting.",Lush green grass and scattered wildflowers covering the landscape seamlessly.,Remove the winding path from the landscape.,remove
000000000243_853945.mp4,9,300,519,30,"A train track runs parallel to a tall, dark blue fence under a sky painted with strokes of orange and yellow, suggesting the golden hour of sunrise or sunset. The scene is tranquil, with no people or animals in sight, and the stillness is accentuated by the absence of movement. As the train moves, the surrounding greenery and the fence's silhouette against the sky's warm hues are highlighted, creating a serene atmosphere. The consistent absence of people or animals throughout emphasizes the tranquility of the journey.","A train track runs under a sky painted with strokes of orange and yellow, suggesting the golden hour of sunrise or sunset. The scene is tranquil, with no people or animals in sight, and the stillness is accentuated by the absence of movement. As the train moves, the surrounding greenery is highlighted against the sky's warm hues, creating a serene atmosphere. The consistent absence of people or animals throughout emphasizes the tranquility of the journey.",Golden sunset hues blending seamlessly with a smooth horizon.,Remove the railing from the scene.,remove
000000000396_854161.mp4,1,0,249,25,"A hand-held white plastic watering can is used to water a vibrant collection of pink and purple flowers, including geraniums and possibly petunias, in a white planter. The scene is set outdoors, with a backdrop of lush greenery, suggesting a garden or balcony setting. The can is actively spraying water, creating a misty ambiance that highlights the freshness of the moment. The consistent action of watering the flowers is shown throughout, with the setting and the presence of the can remaining unchanged.","A hand-held white plastic watering can is used to water a vibrant collection of pink and purple flowers, including geraniums and possibly petunias, in a white planter. The scene is set outdoors, with a backdrop of lush greenery, suggesting a garden or balcony setting. The can is actively spraying water, creating a misty ambiance that highlights the freshness of the moment. The consistent action of watering the flowers is shown throughout, with the setting and the presence of the can remaining unchanged.",Lush green foliage with vibrant pink flowers and soft sunlight.,Remove the railing from the image.,remove
